Food_Name,Overview,Type,Irritable_Bowel_Syndrome​_Score,Irritable_Bowel_Syndrome​_Reason,Obesity_Score,Obesity_Reason,Source,Diabetes_Score,Diabetes_Reason,Carbohydrate_content,Source,Hyperlipidimia_Score,Hyperlipidemia_Reason,Source,Hypertension_Score,Hypertension_Reason,Healthy,Think_Well_Score,Think_Well_Reason_,Feel_Well_Score,Feel_Well_Reason,Live_Well_Score,Live_Well_Reason,"Gut_Superfood_or_Fermented_food_=_1,_else_0",Allergens,Dietary_Restrictions,Similar_Choices,Mealtimes,Additional_food,Healthier_alternatives,
Red Grapefruit,"Grapefruit's flavanones nurture the gut bacteria, maintaining the integrity of our gut lining. It is also rich in antioxidants that combat weight gain and high blood cholesterol, as well as improve blood glucose and insulin levels",1,1,Red graprefruit is high in FODMAP.,Y,Grapefruit's anti-inflammatory and antioxidant properties may boost weight loss.,https://pubmed.ncbi.nlm.nih.gov/25599391/,5,Consuming fresh grapefruit was shown to improve insulin resistance.,"1/2 (256 g) / serv

CHO = 10.34 g = 0.69 ex",https://pubmed.ncbi.nlm.nih.gov/16579728/,5,"In one study, daily consumption of grapefruit for 12 weeks resulted in significantly lower cholesterol levels.",https://pubmed.ncbi.nlm.nih.gov/22304836/,5,Sodium per serv = N/A mg,5,1,"Grapefruit contains vitamin C which are necessary co-factors in the production of serotonin, dopamine and GABA.",1,"Flavonoid antioxidants in grapefruit are thought to improve the diversity and numbers of beneficial gut bacteria, leading to increased butyrate production.",1,"Grapefruit fibre supports liver health which enables the liver to produce healthy bile in abundance, as needed.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Pomelo
Lime
Blackberry
Plum
Pomegranate","Breakfast
Snack",,,
Red Wine,"While antioxidants in red wine have shown to exhibit heart health benefits, they can be gathered from more nutrient-dense and non-alcoholic sources like grapes. Alcohol itself damages the heart, liver and brain when consumed too much and/or too frequently.",5,5,Red wine is low FODMAP if limited to one glass.,N,"Moderate consumption of red wine as part of a Mediterranean diet might not promote weight gain or abdominal adiposity. However, over-consumption of alcohol may lead to other health problems.",https://pubmed.ncbi.nlm.nih.gov/27692023/,1,Moderate regular consumption of red wine may decrease cardiometabolic risks in diabetics. However overconsumption would worsen blood glucose control. ,"1 glass (120 g) / serv

CHO = 0 g = 0 ex","https://pubmed.ncbi.nlm.nih.gov/26458258/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6761899/",1,Alcohol induces gut dysbiosis which may be associated with hyperlipidemia.,"https://sci-hub.se/http://dx.doi.org/10.1136/gutjnl-2018-317609
https://academic.oup.com/femsec/article/94/5/fiy045/4939468",1,Sodium per serv = 13.2 mg,1,-1,Regular drinking for a  long term has been associated with lower serotonin levels.,1,Grape and red wine polyphenols are modulated by our gut microbiota and may pose some health benefits.,1,There are potential heart healthy benefits from drinking red wine. However it is importnat to drink in moderation.,0,N/A,"Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan",Whiskey,Beverage,"Sake
Beer
White wine
Soju
Moscato",,
Salmon,"Fish oil has neuroprotective effects, preventing cognitive decline and preserving brain function. Fish oil also has omega-3 fatty acids which have cardioprotective effects and lower blood lipid levels.",3,5,Salmon is low FODMAP.,Y,Omega-3 fatty acids in salmon have been shown to aid in weight maintenance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7561009/,5,High intake of fatty fish like salmon was found to improve blood sugar control in overweight and obese adults.,"1 small fillet (100 g) / serv

CHO = 0 g = 0 ex",https://pubmed.ncbi.nlm.nih.gov/28606215/,5,Omega-3 polyunsaturated fats in salmon is suggested to lower total and LDL cholesterol while raising HDL cholesterol.,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5475302/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5745982/",1,Sodium per serv = 177 mg,5,1,"Salmon is a rich source of tryptophan, which is used to synthesise GABA and serotonin.",1,"Salmon is high in omega-3 polyunsaturated fatty acids which increase the population of butyrate-producing bacteria, such as Bifidobacterium and Lactobacillus.",1,"EPA & DHA in salmon oil are reported to have cardioprotective effects. They both lower blood triglyceride levels, improve blood flow (arterial compliance), and protect the heart from oxidative damage.",1,Fish,"Halal
Pescetarian","Salmon
Salmon Nigiri","Lunch
Dinner","Mackerel
Tuna
Sardines
Herring
Anchovies",,
Salmon Nigiri,Omega-3 fatty acids in salmon promote heart health by lowering blood lipid and cholesterol levels. Salmon is also a source of phosphorus which is needed for building bones.,3,5,Salmon nigiri has low FODMAP.,Y,Omega-3 fatty acids in salmon has been shown to aid in weight maintenance by raising SCFA levels in the gut. Higher levels of SCFA in the gut is suggested to have antiobesity effects.,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7561009/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5751248/",5,"Salmon nigiri compromises of white rice, which has a high glycemic index. People with diabetes should eat rice in moderation. ","1 piece (34 g) / serv

CHO = 9.72 g = 0.65 ex","https://pubmed.ncbi.nlm.nih.gov/32873587/
https://care.diabetesjournals.org/content/diacare/suppl/2008/09/18/dc08-1239.DC1/TableA2_1.pdf",5,"Omega-3 polyunsaturated fats in salmon could improve blood lipid profiles, raising HDL cholesterol levels while reducing total and LDL cholesterol.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5475302/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5745982/",5,Sodium per serv = 114.92 mg,5,1,"Salmon contains a high amount of tryptophan, which is used to synthesise GABA and serotonin.",1,Fish oil from salmon may support the growth of butyrate-producing Lactobacillus.,-1,Omega-3 polyunsaturated fatty acids from salmon has been found to lower blood and liver lipids which promote heart and liver health.,0,Fish,"Halal
Pescetarian","Salmon
Brown Rice","Lunch
Dinner","Mackerel
Tuna
Herring
Anchovies",,
Sambal ,"Sambal is rich in polyphenols and prebiotic fibres, coming from garlic, shallots, chilli and tamarind, that may have heart-healthy benefits. However, it can be high in sodium and saturated fat and hence should be consumed in moderation",6,1,Sambal has high FODMAP.,N,Capsaicin found in chilli has been associated with weight loss. However high fat spicy food itself may be a risk factor for central obesity.,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5426284/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4320519/",1,"Sambal contains tamarind and chilli. Anti-inflammatory compounds in tamarind protect the insulin-producing cells, and capsaicin in chilli improve blood glucose and insulin levels.","1 dessertspoon (24 g) / serv

CHO = 1.42 g = 0.09 ex","https://pubmed.ncbi.nlm.nih.gov/25771490/
https://pubmed.ncbi.nlm.nih.gov/23151094/",1,"Cholesterol-lowering benefits of turmeric, garlic, chili pepper, and lemongrass have been widely documented.",https://pubmed.ncbi.nlm.nih.gov/2586227/,1,Sodium per serv = 306.2 mg,1,1,Preliminary animal studies indicate that garlic may raise serotonin levels. Turmeric may also raise serotonin levels.,1,"Turmeric and chili pepper increase the diversity of beneficial gut bacteria, according to a research.",1,Capsaicin found in chili ameliorates alcohol-induced acute liver injury in mice.,0,Shellfish,"Halal
Pescetarian","Red Capsicum
Carrot
Spinach
Kale
Red Cabbage","Breakfast
Lunch
Dinner","Gochujang
Szechuan pepper
Togarashi
Thai sweet chilli sauce
Red chili",,
Sesame Seed,"Sesame seeds provide blood pressure lowering potassium and unsatured fats that help to lower blood cholesterol levels. As a result, sesame seeds offer cardioprotective benefits.",4,5,Sesame seeds up to 11g is low FODMAP.,Y,"Sesame seeds are implied to be beneficial for weight management. However, about 28g of sesame seeds has about 13.6 g of fat. Hence, sesame seeds should be consumed in moderation.",https://sci-hub.se/10.1080/10408398.2021.1877107,5,Lignan sesamin exhibits blood sugar lowering effects as well as protective effects for the insulin-producing cells of the pancreas.,"1 portion (28 g) / serv

CHO = 7.29 g = 0.5 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4032840/,5,Preliminary evidence indicates that sesame lignans lower cholesterol levels.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4032840/,5,Sodium per serv = 3.12 mg,5,1,"Sesamin, a lignin compound in sesame seeds may increase serotonin levels in the brain, according to a study on mice.",1,Seeds are rich in fibre which can be fermented by the gut bacteria to produce butyrate.,1,"Liver-protective benefits of sesamin, a lignin antioxidant compound in sesame seeds, have been demonstrated in preliminary research. By promoting liver health, sesame seeds may help ensure that the liver is capable of producing sufficient quantities of healthy bile.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Peanut
Pecan
Macadamia
Almond
Brazil Nut","Lunch
Dinner",,,
Shiitake Mushroom,Shiitake mushrooms have shown cholesterol-lowering effects which promotes heart health. They also contain soluble fibre beta-glucan which may prevent cognitive decline. ,2,1,Shiitake mushroom is low FODMAP.,Y,Preliminary research shows that shiitake mushrooms may prevent weight gain by inhibiting fat deposition.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3199106/,5,Shiitake mushrooms are packed with fermentable polysaccharides that can increase SCFA production in the gut microbiome. Higher levels of SCFA in the gut may improve insulin resistance and help lower blood glucose levels.,"1 cup (145 g) / serv

CHO = 20.74 g = 1.38 ex","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6856246/
https://www.hindawi.com/journals/mi/2014/162021/",5,"In a clinical trial, shiitake consumption led to a 10% reduction in triglyceride levels in participants with borderline high cholesterol.",https://pubmed.ncbi.nlm.nih.gov/34375514/,5,Sodium per serv = 5.8 mg,5,1,Shiitake mushroom is a source of plant-derived GABA.,1,"Shiitake mushroom beta-glucans could encourage the growth of Lactobacilli and Bifidobacterium, both of which produce SCFA.",1,Soluble fibre from shiitake mushrooms curb fat accumulation in the liver by impeding fat digestion and subsequently dietary fat absorption into the body.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Zucchini
Cucumber
Red Capsicum
Tomato
Okra","Lunch
Dinner","Maitake mushrooms
Enoki mushrooms
Oyster mushrooms
Shimeji mushroom
Bunapi mushroom",,
Skinless Roasted Chicken,Skinless roasted chicken is a lean source of protein and a better choice for heart health. Chicken also offers iron which is needed for producing red blood cells.,3,5,Skinless roasted chicken is low FODMAP.,Y,Consuming chicken with adequate vegetable intake is associated with prevention of becoming overweight or obese.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4462824/,5,Consuming chicken with adequate vegetable intake is associated with prevention of type 2 diabetes.,"1 portion (202 g) / serv

CHO = 0 g = 0 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4462824/,5,"Chicken is low in saturated fatty acids, especially with the skin removed. Saturated fatty acids are associated with hyperlipidemia.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4462824/,5,Sodium per serv = 392.97 mg,5,1,Arginine can be converted to GABA precursor glutamate then GABA itself. GABA is a neurotransmitter that has been shown to induce feelings of calm and relaxation.,1,"Chicken protein may support the population of short-chain fatty acid (SCFA) producing Lactobacillus bacteria. However, overconsumption may cause gut dysbiosis. Thus, chicken has to be eaten in moderation.",-1,"Chicken has moderate amounts of L-carnitine, a precursor of TMAO. Excessive intake may lead to production of TMAO, a metabolite made by our gut bacteria, and elevated levels of it has been associated with greater risks of cardiovascular diseases, type 2 diabetes, and obesity. Hence, it should not be eaten in high amounts.",1,N/A,Halal,Skinless Roasted Chicken,"Lunch
Dinner","Grilled chicken
Baked chicken
Pan-fried chicken
Steamed chicken
Braised chicken",,
Soursop,"Soursop contains a range of antioxidant compounds known to protect the heart and cardiovascular system. Soursop is also a source of potassium which lowers blood pressure, a heart disease risk. ",1,1,Soursop is high FODMAP.,Y,"Extract of soursop leaves has shown potential benefits for improving glucose tolerance, decreasing inflammation, and promoting weight loss in an experiment using mice.",https://pubmed.ncbi.nlm.nih.gov/31269728/,1,"Soursop is a high fibre fruit and has a low GI making it suitable for diabetes. It might also aid in glucose metabolism. However, 1 whole soursop has about 42g of carbohydrate. Hence, individuals with diabetes should consume in moderation.","1 whole (439 g) / serv

CHO = 42.09 g = 2.8 ex",https://pubmed.ncbi.nlm.nih.gov/24076471/,5,Soursop may have anti-lipidemic effects.,https://pubmed.ncbi.nlm.nih.gov/24076471/,5,Sodium per serv = 5.97 mg,5,1,Soursop fruit may have anti-depressive and sedative effects by activating serotonin receptors in the brain.,1,Soursop increases the abundance of some healthy bacterial communities and decreases other communities associated with gut dysbiosis.,1,Soursop may protect the liver against chemical-induced liver damage by inhibiting the extreme metabolic changes that come with chemical-induced liver damage.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Persimmon
Watermelon
Pomelo
Guava
Mango","Breakfast
Snack",,,
Soybean,"Soybeans contain resistant starch that feeds our gut bacteria, supporting the populations of our beneficial healthy bacteria. Soybeans also provide abundant blood pressure-lowering potassium, offering cardioprotective benefits as well.",4,1,Soybean is high FODMAP.,N,"The intake of soybeans protein might help with reduce weight gain and body adipose tissue. However, one cup of soybean contains about 300 kcal and 15g of fat. Hence, soybean should be consumed moderately.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6089412/,5,Soybean consumption may have protective effects for insulin-producing cells in the pancreas.,"1 cup (172 g) / serv

CHO = 17.06 g = 1.1 ex",https://pubmed.ncbi.nlm.nih.gov/10660216/,5,"Soybeans contain components such as isoflavones, lecithins, saponins and fiber that may improve cardiovascular health.",https://pubmed.ncbi.nlm.nih.gov/28338639/,5,Sodium per serv = 1.72 mg,5,1,Soybeans have resistant starch which gets fermented by our gut bacteria into short-chain fatty acids. These short-chain fatty acids nourish the gut lining and maintain the integrity of it. Soy foods also support the growth of bifidobacteria and lactobacilli to protect our guts from pathogens.,1,Soy oligosaccharides increases the abundance in SCFA-producing bacteria in our gut.,1,Soybean protein modifies the gut microbiota-dependent biotransformation of bile acids and might aid with dietary fat digestion.,1,Soy,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Kidney Bean
Broad Bean
Lima Bean
Black Bean
Chickpea","Lunch
Dinner","kidney bean
black bean
chickpea",,
Soybean Sprout,"Soybean sprouts provide potassium and fibre which work to lower blood pressure, reducing the cardiovascular risk. Potassium also plays a vital role in neural signaling and muscle contraction.",4,5,Soybean sprout is low FODMAP.,Y,Soybean sprouts have isoflavones which supplementation of has been shown to aid with weight loss.,"https://pubmed.ncbi.nlm.nih.gov/24774066/
https://pubmed.ncbi.nlm.nih.gov/22858192/",5,"Soybean sprouts, similar to mung bean sprouts, may reduce blood glucose levels and improve glucose tolerance.","1 cup (94 g) / serv

CHO = 6.14 g = 0.41 ex",https://pubmed.ncbi.nlm.nih.gov/18767859/,5,Bean sprouts have been found to lower cholesterol and triglyceride levels.,https://pubmed.ncbi.nlm.nih.gov/26787977/,5,Sodium per serv = 9.4 mg,5,1,Soybean sprouts are a source of GABA. Sprouted soybean has been used to fortify soy products like tofu with GABA.,1,Phytoestrogens in soybean sprouts may promote the growth of SCFA producing bacteria.,1,"Phytoestrogens reduce cardiovascular risk factors like high blood cholesterol, high blood pressure and high triglyceride levels.",1,Soy,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Mung Bean Sprout
Leek
Longbean
French Bean
Watercress","Lunch
Dinner",,,
Spinach,"Spinach has been found to be rich in fibre and nitrates, both of which help to lower blood pressure which is a risk of many cardiovascular diseases. Spinach is also a source of quercetin which promotes gut microbial diversity.",2,5,Spinach is low FODMAP.,Y,Thylakoids in the leaves of spinach induce satiety and has been associated with weight loss.,https://pubmed.ncbi.nlm.nih.gov/32550209/,5,Spinach nitrates can combat insulin resistance.,"1 cup (180 g) / serv

CHO = 6.75 g = 0.45 ex",https://pubmed.ncbi.nlm.nih.gov/27616738/,5,"Nitrate compounds in spinach may reduce cholesterol levels, according to laboratory animal studies.",https://pubmed.ncbi.nlm.nih.gov/27616738/,5,Sodium per serv = 126 mg,5,1,"Spinach is a notable source of folate which is needed to synthesise serotonin, epinephrine and dopamine.",1,"In a study where rats were fed with spinach, it is found that they had greater levels of Lactobacillus which produce lactate, butyrate and acetate.",1,"Spinach binds to bile acids in the intestine, prompting the liver to increase production of bile.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Kale
Lettuce
Red Cabbage
Brussel Sprout
Watercress","Lunch
Dinner",,,
Steamed Tofu with Minced Pork and Mushroom,"Tofu and mushrooms are low-fat sources of fibre and protein, if the dish is made with lean minced pork it would be suitable for weight loss. Using lean pork would also reduce the saturated fat content of the dish and make it more heart healthy.",3,1,This dish has high FODMAP.,Y,Tofu is high in protein which improves satiety. Choose lean minced pork to make this dish healthier.,https://focos.hpb.gov.sg/eservices/ENCF/FoodAnalysis.aspx?p=1,5,"Tofu, mushroom and pork are all low carbohydrate ingredients making it suitable for diabetes.","1 Portion (71.9 g) / serv

CHO = 2.73 g = 0.2 ex",https://focos.hpb.gov.sg/eservices/ENCF/FoodAnalysis.aspx?p=1,5,Soy protein and mushroom may aid in lowering of cholesterol levels. Choose lean pork to reduce the amount of saturated fat in this dish.,"https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/meat-poultry-and-fish-picking-healthy-proteins
https://www.healthhub.sg/sites/assets/Assets/PDFs/EHA%20and%20CGH/CGH%20-%20Healthy%20Eating%20for%20Lower%20Cholesterol_FA_Low-Res.pdf",5,Sodium per serv = 196.7 mg,5,1,"Soybean peptides can modulate cellular immune systems, regulate neurotransmitters, and boost brain function.",1,"Soy is reported to reduce pathogenic bacteria populations in the gut allowing the increase of SCFA, producing good gut bacteria. ",1,Soy may prevent gallstone formation.,0,Soy,N/A,"Tofu
Soybean
Shiitake Mushrooms
Broad Bean
Black Bean","Breakfast
Lunch
Dinner",,,
Stir-fried Tempeh with Longbean,"Both tempeh and longbeans are rich in potassium that lowers high blood pressure, reducing risk of heart disease. As it is stir-fried, it is also not so fatty and healthier for weight managment as well.",4,1,Stir-fried tempeh with longbean has high FODMAP.,N,"Tempeh and longbeans are packed with fibre and low in calories, helping to keep you full and prevent snacking after meals. The low energy dense dish is suitable for a weight loss diet. However, this dish should be consumed in moderation as there is around 15g of fat in 1 cup.","https://fdc.nal.usda.gov/fdc-app.html#/food-details/365644/nutrients
https://fdc.nal.usda.gov/fdc-app.html#/food-details/1103337/nutrients",5,Soy isoflavones from tempeh are linked with increased insulin secretion and lowered blood glucose levels. The high fibre content of the dish combats insulin resistance.,"1 plate (420.5 g) / serv

CHO = 9.08 g = 0.6 ex","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6164536/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3614039/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586511/",4,Functional peptides in soybeans help reduce cholesterol levels. Soluble fiber in long beans inhibits cholesterol absorption.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6164536/,4,Sodium per serv = 688.78 mg,4,1,Tempeh was reportedly associated with improved memory in elderly in a study. Longbeans also provide vitamin B6 which is a necessary cofactor for serotonin and GABA production.,1,Tempeh is suggested to increase the abundance of gut bacteria which enhances SCFA production and raises SCFA levels in the gut.,1,Both tempeh and longbeans are rich sources of potassium that is known to lower high blood pressure. High blood pressure is a risk for cardiovascular diseases and could impair cognitive ability.,0,Soy,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","French Bean
Longbean
Tofu
Soybean","Breakfast
Lunch
Dinner",Soy Milk,,
Stir-fried Vegetables,"Stir-fried vegetables provide phytonutrients and heart-healthy fibre, lowering the risk of cardiovascular diseases. Fibre also helps prevent constipation and protect against colorectal cancer.",2,1,Stire-fried vegetables has high FODMAP.,Y,"Stir fried mixed vegetables is a fibre-rich dish and helps to keep one full. Especially when cooked with little oil, it is a low energy dense food that is suitable for weight loss.",https://fdc.nal.usda.gov/fdc-app.html#/food-details/684298/nutrients,5,"Diets high in vegetables can reduce risk for type 2 diabetes by 42%, according to one study.","1 plate (109.34 g) / serv

CHO = 2.81 g = 0.19 ex",https://pubmed.ncbi.nlm.nih.gov/28397016/,5,Fibre from vegetables help to lower total and LDL cholesterol. Cooking oil that is primarily of unsaturated fats like canola and soybean oil should be used as they are cardioprotective.,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6566984/
https://pubmed.ncbi.nlm.nih.gov/34171740/
https://pubmed.ncbi.nlm.nih.gov/33127255/",5,Sodium per serv = 292.81 mg,4,1,Vegetable phytochemicals nourish the lactic acid bacteria in the gut. Many of these lactic acid bacteria produce GABA.,1,Vegetables are rich in polyphenols which promote the growth of SCFA producing bacteria such as Lactobacillus and Bifidobacterium.,1,"Vegetables such as carrots, spinach, tomatoes, and red capsicum are rich in carotenoid antioxidants. Their antioxidative properties prevent oxidative stress which harms the heart and liver. ",0,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan",Spinach,"Lunch
Dinner",,,
Strawberry,Strawberries have been shown to lower blood cholesterol levels and may aid weight loss and blood glucose control. Anthocyanins in strawberries may reduce risk for Alzheimer's disease. ,1,5,Strawberry is low FODMAP.,Y,Strawberries were found to have antiobesity effects in human clinical studies.,https://sci-hub.se/10.1021/acs.jafc.6b00857,5,Phenolic antioxidants in strawberries are found to have hypoglymic effects in animals.,"1 cup (150 g) / serv

CHO = 3.93 g = 0.3 ex",https://pubmed.ncbi.nlm.nih.gov/26826817/,5,Antioxidants and fiber in strawberries decrease cholesterol levels and prevents oxidation of LDL cholesterol.,https://pubmed.ncbi.nlm.nih.gov/20384847/,5,Sodium per serv = 8.73 mg,5,1,Strawberries may boost the release of dopamine.,1,Quercetin in strawberries might encourage the growth of SCFA producing bacteria and consequently the production of SCFA.,1,Strawberries were found to reduce numerous cardiovascular risk factor.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Blueberry
Blackberry
Plum
Raspberry
Red Grape","Breakfast
Snack",,,
Tahini,Tahini offers fibre which helps to lower blood cholesterol levels and improve blood glucose control. Tahini is also packed with phosphorus which is crucial for bone building.,4,5,Tahini in portion of up to 30g is low FODMAP.,Y,"Sesame seeds are implied to be beneficial for weight management. However, should be consumed in moderation as 3 tablespoons of tahini has around 29g of fat",https://sci-hub.se/10.1080/10408398.2021.1877108,5,Preliminary research has shown tahini has antihyperglycemic effects.,"1 tbsp (16 g) / serv

CHO = 0.16 g = 0.01 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4764959/,5,Sesame seeds have been found to reduce oxidative stress and lower cholesterol levels.,https://pubmed.ncbi.nlm.nih.gov/25097842/,5,Sodium per serv = 12.64 mg,5,1,Sesame seed supplements has shown to have anti-depressive effects.,1,"A compound in sesame seeds called sesamin has been found to increase levels of healthy bacteria in the gut, thereby increasing butyrate production.",1,"Sesamin, a compound in sesame seeds, promotes bile production.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Sesame Seed
Soybean
Black Soybean
Broad Bean
Lima Bean","Breakfast
Lunch
Dinner
Snack",,,
Thai Mango Salad,"Fibre and antioxidants from the green mango and other vegetables promote heart health by reducing blood pressure and cholesterol levels. The salad would also be a great source of vitamins since they would not be destroyed by heat from cooking. However, this dish is also high in sodium. Consuming too much sodium promotes high blood pressure and in turn raises the risk of cardiovascular diseases. ",1,1,Thai mango salad has high FODMAP.,N,"Thai mango salad is rich in fibre, but has high amount of fat in one serving (18.91g) due to the present of peanuts. Hence, this dish should be consumed in moderation.",https://fdc.nal.usda.gov/fdc-app.html#/food-details/169910/nutrients,1,"Unripe mango is rich in polyphenols that reduce blood sugar levels. However, this dish has high amount of carbohydrates in one serving (47.6g g). Hence, it should be consumed in moderation for individuals with diabetes.","1 plate (263 g) / serv

CHO = 47.6 g = 3.2 ex",https://www.mdpi.com/2304-8158/10/9/2043/htm,5,Mango and other plant ingredients in thai mango salad help prevent cholesterol buildup in the arteries.,https://sci-hub.se/10.1016/j.dsx.2020.01.014,1,Sodium per serv = 1893.6 mg,3,1,"Fruits encourage the growth of lactic acid bacteria, of which many strains are GABA-producing bacteria.",1,"Mangoes and other ingredients in a thai mango salad promote the health of gut bacteria, thereby promoting butyrate production.",1,"High in fiber, thai mango salad lowers cholesterol levels and binds to bile acids in the intestinal tract, prompting the liver to produce new bile.",0,"Nuts
Fish","Halal
Pescetarian",Brussel Sprout,"Lunch
Dinner",,,
Tofu,"Tofu is very low in fat, especially saturated fats, making it a heart-healthy protein and great for weight loss. Tofu is also a great source of calcium for building bones.",4,5,Tofu is low FODMAP.,Y,Soy protein in tofu has been found to reduce body weight and body fat mass.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1838825/,5,"Soy isoflavone genistein stimulates the secretion of insulin, preventing spikes in blood glucose levels.","1 piece (152 g) / serv

CHO = 5.78 g = 0.39 ex",https://pubmed.ncbi.nlm.nih.gov/16567527/,5,Soy phytosterols have been shown to lower total and LDL cholesterol levels in men with mild high blood cholesterol.,https://pubmed.ncbi.nlm.nih.gov/12081816/,5,Sodium per serv = 10.94 mg,5,1,Manganese in firm tofu is a co-factor in the synthesis of GABA.,1,Soy food like tofu can increase the population of SCFA producing Bifidobacteria and Lactobacilli.,1,Soy isoflavones are known to be cardioprotective. They are suggested to inhibit the formation of arterial plaque.,1,Soy,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Broad Bean
Soybean","Breakfast
Lunch
Dinner","Tempeh
Soy milk",,
Tomato,"Tomatoes are packed with carotenoids antioxidants lycopene and vitamin C which reduce the overall risk of cardiovascular diseaes. Furthremore, tomatoes' flavonoids, like naringenin, nourish the healthy bug bacteria.",2,5,Tomato is low FODMAP.,Y,Tomato's carotenoid lycopene has protective effects against obesity by improving glucose and lipid metabolism.,https://pubmed.ncbi.nlm.nih.gov/31978713/,5,Lycopene has been found to have protective effects against diabetes-related vision loss due to its antioxidative properties.,"1 whole (55 g) / serv

CHO = 1.96 g = 0.13 ex",https://pubmed.ncbi.nlm.nih.gov/22411366/,5,Tomato consumption is associated with lower levels of triglycerides and LDL cholesterol and higher levels of HDL.,https://pubmed.ncbi.nlm.nih.gov/32243013/,5,Sodium per serv = 8.71 mg,5,1,Tomato is a source of naturally occuring serotonin.,1,Arabinoxylan in tomatoes are found to increase the number of bifidobacteria which produce lactate and acetate.,1,Lycopene curbs oxidative damage to the heart and liver.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Zucchini
Red Capsicum
Red Cabbage
Leek
Celery","Breakfast
Lunch
Dinner
Snack",,,
